Page,Product_Name,Vendor_Raw,Vendor_Clean,Star_Rating_Raw,Star_Rating_Clean
1,Shure SRH440 Professional Studio Headphones,Shure,Shure,4.5,4.5
1,JBL Flip 4 Waterproof Portable Bluetooth Speaker,JBL,Jbl,5.0,5.0
1,AKG N20U Premium In-Ear Headphones,AKG,Akg,4.5,4.5
1,Shure SB900A Lithium-Ion Rechargeable Battery,Shure,Shure,5.0,5.0
1,Pioneer PL-990 Automatic Stereo Turntable,Pioneer,Pioneer,3.0,3.0
1,Klipsch R6m In-Ear Headphones,Klipsch,Klipsch,4.0,4.0
1,JBL Go2 Portable Bluetooth Speaker,JBL,Jbl,4.5,4.5
1,Sony PS-HX500 Hi-Res USB Turntable,Sony,Sony,4.5,4.5
1,Sony NW-E395 Walkman Audio Player,Sony,Sony,5.0,5.0
1,Sennheiser Urbanite On-Ear Headphones,Sennheiser,Sennheiser,5.0,5.0
1,Sennheiser CH 800 S High-End Headphones Cable for HD 800,Sennheiser,Sennheiser,5.0,5.0
1,Pioneer Hi-Res Digital Audio Player XDP-300R(S),Pioneer,Pioneer,5.0,5.0
1,Klipsch XR8i In-Ear Headphones,Klipsch,Klipsch,4.0,4.0
1,Klipsch X12 Bluetooth Neckband Headphones,Klipsch,Klipsch,0.0,0.0
1,Klipsch R6 On-Ear Headphones,Klipsch,Klipsch,4.5,4.5
1,JBL Cruise Bluetooth Handlebar Speaker Kit,JBL,Jbl,4.0,4.0
1,JBL Clip 3 Portable Waterproof Wireless Bluetooth Speaker,JBL,Jbl,4.5,4.5
1,Denon AH-C720 In-Ear Headphones,Denon,Denon,5.0,5.0
1,AKG N40 Customizable Hi-Res In-Ear Headphones,AKG,Akg,5.0,5.0
1,AKG N20 Premium In-Ear Headphones,AKG,Akg,5.0,5.0
1,Yamaha WX-030 MusicCast Wireless Speaker,Yamaha,Yamaha,4.5,4.5
1,Yamaha WX-010 MusicCast Multiroom Digital Music System,Yamaha,Yamaha,4.0,4.0
1,Yamaha MusicCast 20 Wireless Speaker,Yamaha,Yamaha,4.5,4.5
1,Yamaha MultiCast 50 Wireless Speaker WX-051,Yamaha,Yamaha,3.0,3.0
2,Yamaha EPH-M100 High-performance Earphones with Remote and Mic,Yamaha,Yamaha,5.0,5.0
2,Sony XB-950B1 Extra Bass Wireless Headphones with App Control,Sony,Sony,5.0,5.0
2,Sony WH1000XM3 Wireless Industry Leading Noise Canceling Over-Ear Headphones,Sony,Sony,4.5,4.5
2,Sony RF995RK Wireless RF Headphones,Sony,Sony,5.0,5.0
2,Sony MDRXB650BT Extra Bass Bluetooth Headphones,Sony,Sony,5.0,5.0
2,Sony MDR-100ABN/B H.ear Wireless Headphones,Sony,Sony,0.0,0.0
2,Sony MDR-RF912RK Wireless RF Headphones,Sony,Sony,5.0,5.0
2,Shure SRH840 Professional Monitoring Headphones,Shure,Shure,5.0,5.0
