item_title,price,inventory,vendor,stars,link
Shure SRH440 Professional Studio Headphones,99.0,64,shure,4.5,https://warehouse-theme-metal.myshopify.com/products/shure-srh440-professional-studio-headphones
JBL Flip 4 Waterproof Portable Bluetooth Speaker,74.95,672,jbl,5.0,https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker
AKG N20U Premium In-Ear Headphones,129.95,141,akg,4.5,https://warehouse-theme-metal.myshopify.com/products/akg-n20u-reference-class-in-ear-headphones-with-truly-universal-3-button-control
Shure SB900A Lithium-Ion Rechargeable Battery,118.0,148,shure,5.0,https://warehouse-theme-metal.myshopify.com/products/shure-sb900a-lithium-ion-rechargeable-battery
Pioneer PL-990 Automatic Stereo Turntable,179.0,148,pioneer,3.0,https://warehouse-theme-metal.myshopify.com/products/pioneer-pl-990-automatic-stereo-turntable
Klipsch R6m In-Ear Headphones,99.0,10,klipsch,4.0,https://warehouse-theme-metal.myshopify.com/products/klipsch-r6m-in-ear-headphones
JBL Go2 Portable Bluetooth Speaker,39.95,798,jbl,4.5,https://warehouse-theme-metal.myshopify.com/products/jbl-go-2-portable-bluetooth-waterproof-speaker
Sony PS-HX500 Hi-Res USB Turntable,398.0,15,sony,4.5,https://warehouse-theme-metal.myshopify.com/products/sony-ps-hx500-hi-res-usb-turntable
Sony NW-E395 Walkman Audio Player,93.0,341,sony,5.0,https://warehouse-theme-metal.myshopify.com/products/sony-nw-e395-walkman-audio-player
Sennheiser Urbanite On-Ear Headphones,199.95,43,sennheiser,5.0,https://warehouse-theme-metal.myshopify.com/products/sennheiser-urbanite-on-ear-headphones
Sennheiser CH 800 S High-End Headphones Cable for HD 800,379.95,8,sennheiser,5.0,https://warehouse-theme-metal.myshopify.com/products/sennheiser-ch-800-s-high-end-headphones-cable-for-hd-800
Pioneer Hi-Res Digital Audio Player XDP-300R(S),699.99,127,pioneer,5.0,https://warehouse-theme-metal.myshopify.com/products/pioneer-hi-res-digital-audio-player-xdp-300rs
Klipsch XR8i In-Ear Headphones,279.0,55,klipsch,4.0,https://warehouse-theme-metal.myshopify.com/products/klipsch-xr8i-in-ear-headphones
Klipsch X12 Bluetooth Neckband Headphones,399.0,106,klipsch,0.0,https://warehouse-theme-metal.myshopify.com/products/klipsch-x12-bluetooth-neckband-headphones
Klipsch R6 On-Ear Headphones,79.0,69,klipsch,4.5,https://warehouse-theme-metal.myshopify.com/products/klipsch-r6-on-ear-headphones
JBL Cruise Bluetooth Handlebar Speaker Kit,199.95,114,jbl,4.0,https://warehouse-theme-metal.myshopify.com/products/jbl-cruise-bluetooth-handlebar-speaker-kit
JBL Clip 3 Portable Waterproof Wireless Bluetooth Speaker,59.95,688,jbl,4.5,https://warehouse-theme-metal.myshopify.com/products/jbl-clip-3-portable-waterproof-wireless-bluetooth-speaker
Denon AH-C720 In-Ear Headphones,119.0,236,denon,5.0,https://warehouse-theme-metal.myshopify.com/products/denon-ah-c720-in-ear-headphones
AKG N40 Customizable Hi-Res In-Ear Headphones,399.95,39,akg,5.0,https://warehouse-theme-metal.myshopify.com/products/akg-n40-customizable-high-resolution-in-ear-headphones
AKG N20 Premium In-Ear Headphones,119.95,203,akg,5.0,https://warehouse-theme-metal.myshopify.com/products/akg-n20-premium-in-ear-headphones
Yamaha WX-030 MusicCast Wireless Speaker,249.95,160,yamaha,4.5,https://warehouse-theme-metal.myshopify.com/products/yamaha-wx-030-musiccast-wireless-speaker
Yamaha WX-010 MusicCast Multiroom Digital Music System,179.95,111,yamaha,4.0,https://warehouse-theme-metal.myshopify.com/products/yamaha-wx-010bl-musiccast-multiroom-digital-music-system
Yamaha MusicCast 20 Wireless Speaker,229.95,48,yamaha,4.5,https://warehouse-theme-metal.myshopify.com/products/yamaha-musiccast-20-wireless-speaker
Yamaha MultiCast 50 Wireless Speaker WX-051,499.95,211,yamaha,3.0,https://warehouse-theme-metal.myshopify.com/products/yamaha-multicast-50-wireless-speaker-wx-051
Yamaha EPH-M100 High-performance Earphones with Remote and Mic,99.95,310,yamaha,5.0,https://warehouse-theme-metal.myshopify.com/products/yamaha-eph-m100-high-performance-earphones-with-remote-and-mic
Sony XB-950B1 Extra Bass Wireless Headphones with App Control,128.0,99,sony,5.0,https://warehouse-theme-metal.myshopify.com/products/sony-xb950-extra-bass-wireless-headphones-with-app-control
